control data
Variable	Type	Values	Description
RSTFLE	text	"restart or ""norestart"""	instructs PEST whether to write restart data
PESTMODE	text	"estimation, ""prediction"", ""regularisation"", ""pareto"""	PEST's mode of operation
NPAR	integer	greater than zero	number of parameters
NOBS	integer	greater than zero	number of observations
NPARGP	integer	greater than zero	number of parameter groups
NPRIOR	integer	any integer value	"absolute value is number of prior information equations; negative value indicates supply of prior information in indexed format"
NOBSGP	integer	greater than zero	number of observation groups
MAXCOMPDIM	integer	"optional; zero or greater"	number of elements in compressed Jacobian matrix
NTPLFLE	integer	greater than zero	number of template files
NINSFLE	integer	greater than zero	number of instruction files
PRECIS	text	"single or ""double"""	format for writing parameter values to model input files
DPOINT	text	"point or ""nopoint"""	omit decimal point in parameter values if possible
NUMCOM	integer	"optional; greater than zero"	number of command lines used to run model
JACFILE	integer	"optional; 0, 1 or -1"	indicates whether model provides external derivatives file
MESSFILE	integer	"optional; zero or one"	indicates whether PEST writes PEST-to-model message file
OBSREREF	text	"obsreref, ""obsreref_N"" or ""noobsreref"""	activates or de-activates observation re-referencing (with an optional pause after re-referencing runs)
RLAMBDA1	real	zero or greater	initial Marquardt lambda
RLAMFAC	real	positive or negative, but not zero	dictates Marquardt lambda adjustment process
PHIRATSUF	real	between zero and one	fractional objective function sufficient for end of current iteration
PHIREDLAM	real	between zero and one	termination criterion for Marquardt lambda search
NUMLAM	integer	"one or greater; possibly negative with Parallel or BEOPEST"	maximum number of Marquardt lambdas to test
JACUPDATE	integer	"optional; zero or greater"	activation of Broyden's Jacobian update procedure
LAMFORGIVE	text	"lamforgive or ""nolamforgive"""	treat model run failure during lambda search as high objective function
DERFORGIVE	text	"derforgive or ""noderforgive"""	accomodates total or partial model failure during Jacobian runs by setting pertinent sensitivities to zero
RELPARMAX	real	greater than zero	parameter relative change limit
FACPARMAX	real	greater than one	parameter factor change limit
FACORIG	real	between zero and one	minimum fraction of original parameter value in evaluating relative change
ABSPARMAX	real	greater than zero	parameter absolute change limit
IBOUNDSTICK	integer	"optional; zero or greater"	instructs PEST not to compute derivatives for parameter at its bounds
UPVECBEND	integer	"optional; zero or one"	instructs PEST to bend parameter upgrade vector if parameter hits bounds
PHIREDSWH	real	between zero and one 	sets objective function change for introduction of central derivatives
NOPTSWITCH	integer	"optional; one or greater"	iteration before which PEST will not switch to central derivatives computation
SPLITSWH	real	"optional; zero or greater"	the factor by which the objective function rises to invoke split slope derivatives analysis until end of run
DOAUI	text	"aui, ""auid"", or ""noaui"""	instructs PEST to implement automatic user intervention
DOSENREUSE	text 	"senreuse or ""nosenreuse"""	instructs PEST to re-use parameter sensitivities
BOUNDSCALE	text	"boundscale or ""noboundscale"""	Parameters are scaled by the inter-bounds interval if using singular value decomposition, LSQR or SVDA.
NOPTMAX	integer	-2, -1, 0, or any number greater than zero	number of optimisation iterations
PHIREDSTP	real	greater than zero	relative objective function reduction triggering termination
NPHISTP	integer	greater than zero	number of successive iterations over which PHIREDSTP applies
NPHINORED	integer	greater than zero	number of iterations since last drop in objective function to trigger termination
RELPARSTP	real	greater than zero	maximum relative parameter change triggering termination
NRELPAR	integer	greater than zero	number of successive iterations over which RELPARSTP applies
PHISTOPTHRESH	real	"optional; zero or greater"	objective function threshold triggering termination
LASTRUN	integer	"optional; zero or one"	instructs PEST to undertake (or not) final model run with best parameters
PHIABANDON	real or text	optional	objective function value at which to abandon optimisation process or filename containing abandonment schedule
ICOV	integer	zero or one	record covariance matrix in matrix file
ICOR	integer	zero or one	record correlation coefficient matrix in matrix file
IEIG	integer	zero or one	record eigenvectors in matrix file
IRES	integer	zero or one	record resolution data
JCOSAVE	text	"jcosave or ""nojcosave"""	Save best Jacobian file as a JCO file - overwriting previously-saved files of the same name as the inversion process progresses.
VERBOSEREC	text	"verboserec or ""noverboserec"""	"If set to ""noverboserec"", parameter and observation data lists are ommitted from the run record file."
JCOSAVEITN	text	"jcosaveitn or ""nojcosaveitn"""	Write current jacobian matrix to iteration-specific JCO file at the end of every optimisation iteration.
REISAVEITN	text	"reisaveitn or ""noreisaveitn"""	Store best-fit residuals to iteration-specific residuals file at end of every optimisation iteration.
PARSAVEITN	text	"parsaveitn or ""noparsaveitn"""	Store iteration specific parameter value files.
PARSAVERUN	text	"parsaverun or ""noparsaverun"""	Store run specific parameter value files.
