parameter data
Variable	Type	Values	Description
PARNME	text	12 characters or less	parameter name
PARTRANS	text	log, "none", "fixed", "tied"	parameter transformation
PARCHGLIM	text	relative, "factor", or absolute(N)	type of parameter change limit
PARVAL1	real	any real number	initial parameter value
PARLBND	real	less than or equal to PARVAL1	parameter lower bound
PARUBND	real	greater than or equal to PARVAL1	parameter upper bound
PARGP	text	12 characters or less	parameter group name
SCALE	real	any number other than zero	multiplication factor for parameter
OFFSET	real	any number	number to add to parameter
DERCOM	integer	zero or greater	model command line used in computing parameter increments
PARTIED	text	12 characters or less	the name of the parameter to which another parameter is tied
